
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.974
2,1:y,1:y,,0.916
3,1:y,1:y,,0.973
4,2:n,1:y,+,1
5,2:n,2:n,,0.992
6,2:n,1:y,+,0.929
7,2:n,2:n,,0.992
8,2:n,1:y,+,0.923
9,2:n,2:n,,0.942
10,1:y,1:y,,0.832
11,2:n,2:n,,0.943
12,1:y,1:y,,0.978
13,1:y,1:y,,0.978
14,2:n,1:y,+,0.897
15,1:y,2:n,+,0.992
16,2:n,2:n,,1
17,1:y,1:y,,0.978
18,1:y,2:n,+,1
19,2:n,2:n,,0.951
20,1:y,1:y,,1
21,2:n,2:n,,0.992
22,1:y,1:y,,0.923
23,1:y,1:y,,0.978
24,2:n,2:n,,0.704
25,2:n,1:y,+,0.816
26,2:n,2:n,,0.932
27,1:y,1:y,,0.921
28,2:n,1:y,+,0.9
29,1:y,1:y,,0.832
30,2:n,2:n,,0.992
31,1:y,1:y,,0.978
32,1:y,1:y,,0.913
33,1:y,1:y,,0.973
34,2:n,2:n,,0.943
35,1:y,1:y,,0.963
36,2:n,2:n,,0.951
37,1:y,1:y,,0.978
38,1:y,1:y,,0.978
39,1:y,1:y,,0.97
40,1:y,1:y,,0.978
41,2:n,2:n,,0.992
42,1:y,1:y,,0.978
43,2:n,2:n,,0.992
44,2:n,2:n,,1
45,1:y,1:y,,1
46,1:y,1:y,,0.977
47,2:n,1:y,+,0.667
48,2:n,2:n,,0.943
49,1:y,1:y,,0.978
50,2:n,1:y,+,1
51,1:y,1:y,,0.978
52,1:y,1:y,,0.96
53,2:n,1:y,+,1
54,1:y,1:y,,0.923
55,2:n,2:n,,0.992
56,1:y,1:y,,0.832
57,2:n,2:n,,0.992
58,2:n,2:n,,0.943
59,1:y,2:n,+,0.943
60,1:y,1:y,,0.974
61,2:n,2:n,,1
62,2:n,2:n,,0.992
63,1:y,1:y,,0.928
64,2:n,2:n,,0.857
65,1:y,1:y,,1
66,1:y,1:y,,0.978
67,1:y,1:y,,1
68,2:n,1:y,+,1
69,1:y,1:y,,0.985
70,2:n,2:n,,0.857
71,1:y,2:n,+,1
72,2:n,2:n,,0.982
73,1:y,2:n,+,1
74,2:n,2:n,,0.982
75,2:n,2:n,,0.943
76,2:n,2:n,,0.952
77,2:n,2:n,,0.992
78,1:y,1:y,,0.973
79,1:y,1:y,,0.978
80,2:n,2:n,,0.992
81,1:y,1:y,,0.978
82,1:y,1:y,,0.857
83,1:y,1:y,,0.622
84,1:y,1:y,,0.923
85,1:y,1:y,,1
86,1:y,1:y,,0.929
87,1:y,1:y,,0.799
88,2:n,2:n,,0.992
89,1:y,1:y,,0.985
90,2:n,2:n,,0.915
91,2:n,1:y,+,0.978
92,1:y,1:y,,0.906
93,1:y,1:y,,0.978
94,2:n,2:n,,0.992
95,2:n,1:y,+,1
96,1:y,1:y,,1
97,2:n,2:n,,0.951
98,2:n,2:n,,1
99,1:y,2:n,+,1
100,1:y,1:y,,0.978
101,2:n,2:n,,0.992
102,2:n,2:n,,0.992
103,1:y,1:y,,0.816
104,2:n,2:n,,0.943
105,1:y,1:y,,0.978
106,2:n,2:n,,0.996
107,1:y,1:y,,0.978
108,2:n,1:y,+,1
109,1:y,1:y,,0.921
110,2:n,2:n,,0.929
111,1:y,1:y,,0.961
112,2:n,2:n,,0.992
113,2:n,2:n,,0.992
114,2:n,2:n,,0.992
115,1:y,1:y,,0.961
116,2:n,1:y,+,0.978
