
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.936
2,1:y,1:y,,0.923
3,1:y,1:y,,0.974
4,2:n,1:y,+,1
5,2:n,2:n,,0.991
6,2:n,1:y,+,0.92
7,2:n,2:n,,0.991
8,2:n,1:y,+,1
9,2:n,2:n,,0.912
10,1:y,1:y,,1
11,2:n,2:n,,0.957
12,1:y,1:y,,0.92
13,1:y,1:y,,0.943
14,2:n,1:y,+,0.936
15,1:y,2:n,+,0.957
16,2:n,2:n,,0.671
17,1:y,1:y,,0.943
18,1:y,1:y,,0.96
19,2:n,2:n,,0.991
20,1:y,1:y,,0.833
21,2:n,2:n,,0.991
22,1:y,1:y,,0.667
23,1:y,1:y,,0.936
24,2:n,2:n,,0.753
25,2:n,1:y,+,1
26,2:n,2:n,,0.985
27,1:y,1:y,,0.936
28,2:n,2:n,,0.985
29,1:y,1:y,,1
30,2:n,2:n,,0.991
31,1:y,1:y,,0.936
32,1:y,1:y,,0.936
33,1:y,1:y,,0.974
34,2:n,2:n,,0.929
35,1:y,1:y,,1
36,2:n,2:n,,0.991
37,1:y,1:y,,1
38,1:y,1:y,,0.869
39,1:y,1:y,,0.916
40,1:y,1:y,,0.718
41,2:n,2:n,,0.991
42,1:y,1:y,,0.833
43,2:n,2:n,,0.991
44,2:n,2:n,,0.933
45,1:y,1:y,,0.967
46,1:y,1:y,,0.936
47,2:n,1:y,+,0.936
48,2:n,2:n,,0.957
49,1:y,1:y,,0.936
50,2:n,2:n,,0.937
51,1:y,1:y,,0.936
52,1:y,1:y,,0.941
53,2:n,1:y,+,0.966
54,1:y,1:y,,0.968
55,2:n,2:n,,0.991
56,1:y,1:y,,1
57,2:n,2:n,,0.991
58,2:n,2:n,,0.957
59,1:y,2:n,+,0.957
60,1:y,1:y,,0.936
61,2:n,2:n,,0.909
62,2:n,2:n,,0.991
63,1:y,1:y,,0.936
64,2:n,1:y,+,0.718
65,1:y,1:y,,0.852
66,1:y,1:y,,0.872
67,1:y,1:y,,0.873
68,2:n,2:n,,0.985
69,1:y,1:y,,0.833
70,2:n,2:n,,0.933
71,1:y,1:y,,0.941
72,2:n,2:n,,0.985
73,1:y,1:y,,0.852
74,2:n,2:n,,0.985
75,2:n,2:n,,0.957
76,2:n,2:n,,0.985
77,2:n,2:n,,0.991
78,1:y,1:y,,0.974
79,1:y,1:y,,0.971
80,2:n,2:n,,0.991
81,1:y,1:y,,0.79
82,1:y,2:n,+,0.909
83,1:y,1:y,,0.936
84,1:y,1:y,,0.92
85,1:y,1:y,,1
86,1:y,1:y,,0.595
87,1:y,1:y,,0.742
88,2:n,2:n,,0.991
89,1:y,1:y,,0.833
90,2:n,2:n,,0.933
91,2:n,2:n,,0.667
92,1:y,1:y,,0.936
93,1:y,1:y,,0.873
94,2:n,2:n,,0.991
95,2:n,1:y,+,0.852
96,1:y,1:y,,0.936
97,2:n,2:n,,0.991
98,2:n,1:y,+,0.537
99,1:y,1:y,,1
100,1:y,1:y,,0.852
101,2:n,2:n,,0.991
102,2:n,2:n,,0.991
103,1:y,1:y,,0.873
104,2:n,2:n,,0.957
105,1:y,1:y,,0.936
106,2:n,2:n,,0.985
107,1:y,1:y,,1
108,2:n,2:n,,0.985
109,1:y,1:y,,0.936
110,2:n,2:n,,1
111,1:y,1:y,,0.936
112,2:n,2:n,,0.991
113,2:n,2:n,,0.991
114,2:n,2:n,,0.991
115,1:y,1:y,,0.936
116,2:n,2:n,,0.933
117,1:y,1:y,,1
118,2:n,2:n,,0.985
119,2:n,2:n,,0.991
120,2:n,1:y,+,0.857
121,2:n,1:y,+,1
122,2:n,1:y,+,0.936
123,2:n,2:n,,0.991
124,1:y,1:y,,1
125,2:n,2:n,,0.985
126,2:n,1:y,+,0.989
127,2:n,2:n,,0.991
128,2:n,2:n,,0.991
129,2:n,2:n,,0.991
130,2:n,2:n,,0.991
131,1:y,1:y,,0.974
132,1:y,1:y,,0.917
133,1:y,1:y,,0.907
134,1:y,1:y,,0.908
135,2:n,2:n,,0.957
136,1:y,1:y,,0.852
137,2:n,2:n,,0.991
138,2:n,2:n,,0.957
139,1:y,1:y,,0.936
140,1:y,1:y,,0.967
141,2:n,2:n,,0.991
142,1:y,1:y,,0.936
143,2:n,2:n,,0.991
144,1:y,1:y,,0.974
145,1:y,1:y,,0.765
146,2:n,1:y,+,0.833
147,1:y,1:y,,0.717
148,1:y,2:n,+,0.627
149,2:n,2:n,,0.991
150,1:y,1:y,,1
151,2:n,2:n,,0.779
152,2:n,1:y,+,0.936
153,2:n,1:y,+,0.667
154,2:n,2:n,,0.985
155,2:n,2:n,,0.8
156,1:y,1:y,,0.974
157,1:y,2:n,+,0.957
158,1:y,1:y,,0.936
159,1:y,1:y,,0.936
160,1:y,1:y,,0.967
161,2:n,2:n,,0.985
162,1:y,1:y,,0.974
163,2:n,2:n,,0.991
164,1:y,1:y,,0.974
165,1:y,1:y,,1
166,1:y,1:y,,0.873
167,2:n,1:y,+,0.936
168,1:y,1:y,,0.974
169,1:y,1:y,,1
170,2:n,2:n,,0.966
171,1:y,1:y,,0.814
172,2:n,2:n,,0.8
173,2:n,1:y,+,0.928
174,1:y,1:y,,0.936
175,1:y,1:y,,0.936
176,1:y,1:y,,0.936
177,2:n,2:n,,0.957
178,1:y,1:y,,0.869
179,2:n,2:n,,0.991
180,2:n,2:n,,0.957
181,1:y,1:y,,0.936
182,1:y,1:y,,0.778
183,1:y,1:y,,1
184,2:n,2:n,,0.933
185,1:y,1:y,,1
186,1:y,1:y,,0.974
187,2:n,1:y,+,0.977
188,1:y,1:y,,0.974
189,2:n,2:n,,0.991
190,1:y,1:y,,0.974
191,2:n,2:n,,0.991
192,2:n,2:n,,0.991
193,1:y,1:y,,0.936
194,2:n,2:n,,0.957
195,1:y,1:y,,1
196,1:y,1:y,,0.861
197,1:y,1:y,,0.936
198,2:n,1:y,+,1
199,2:n,2:n,,1
200,1:y,1:y,,0.974
201,2:n,2:n,,0.779
202,2:n,2:n,,0.991
203,2:n,1:y,+,0.75
204,1:y,1:y,,0.936
205,2:n,2:n,,0.991
206,1:y,1:y,,0.974
207,1:y,1:y,,1
208,1:y,1:y,,0.984
