=== Run information ===

Scheme:       weka.classifiers.lazy.IBk -K 135 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\""
Relation:     database_mean_unknown
Instances:    50000
Attributes:   26
              startHour
              startWeekday
              duration
              cCount
              cMinPrice
              cMaxPrice
              cSumPrice
              bCount
              bMinPrice
              bMaxPrice
              bSumPrice
              bStep
              onlineStatus
              availability
              maxVal
              customerScore
              accountLifetime
              payments
              age
              lastOrder
              rCount
              bMinPriceVariance
              bMaxPriceVariance
              bMeanVariance
              cMeanVariance
              order
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

IB1 instance-based classifier
using 135 nearest neighbour(s) for classification


Time taken to build model: 0.01 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.926
2,1:y,1:y,,0.963
3,1:y,1:y,,0.941
4,2:n,2:n,,0.8
5,2:n,2:n,,0.985
6,2:n,2:n,,0.963
7,2:n,2:n,,1
8,2:n,2:n,,0.993
9,2:n,2:n,,0.993
10,1:y,1:y,,0.948
11,2:n,2:n,,0.948
12,1:y,1:y,,0.985
13,1:y,1:y,,0.993
14,2:n,2:n,,0.948
15,1:y,2:n,+,0.956
16,2:n,2:n,,0.993
17,1:y,1:y,,1
18,1:y,1:y,,0.919
19,2:n,1:y,+,0.778
20,1:y,1:y,,0.926
21,2:n,2:n,,1
22,1:y,1:y,,0.933
23,1:y,1:y,,0.993
24,2:n,2:n,,0.993
25,2:n,2:n,,1
26,2:n,2:n,,0.993
27,1:y,1:y,,0.97
28,2:n,1:y,+,0.719
29,1:y,1:y,,0.941
30,2:n,2:n,,1
31,1:y,1:y,,0.993
32,1:y,1:y,,0.978
33,1:y,1:y,,0.926
34,2:n,2:n,,0.978
35,1:y,1:y,,0.911
36,2:n,1:y,+,0.844
37,1:y,1:y,,0.985
38,1:y,1:y,,0.778
39,1:y,1:y,,0.933
40,1:y,1:y,,0.985
41,2:n,2:n,,1
42,1:y,1:y,,0.978
43,2:n,2:n,,1
44,2:n,2:n,,0.978
45,1:y,1:y,,0.956
46,1:y,1:y,,0.933
47,2:n,1:y,+,0.933
48,2:n,2:n,,0.985
49,1:y,1:y,,0.993
50,2:n,2:n,,0.993
51,1:y,1:y,,0.985
52,1:y,1:y,,0.948
53,2:n,1:y,+,0.956
54,1:y,1:y,,0.896
55,2:n,2:n,,1
56,1:y,1:y,,0.948
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,0.97
60,1:y,1:y,,0.926
61,2:n,2:n,,0.993
62,2:n,2:n,,1
63,1:y,1:y,,0.948
64,2:n,2:n,,0.978
65,1:y,1:y,,0.733
66,1:y,1:y,,0.719
67,1:y,1:y,,0.963
68,2:n,2:n,,0.993
69,1:y,1:y,,0.926
70,2:n,2:n,,1
71,1:y,1:y,,0.926
72,2:n,2:n,,0.993
73,1:y,1:y,,0.741
74,2:n,2:n,,1
75,2:n,2:n,,1
76,2:n,2:n,,1
77,2:n,2:n,,1
78,1:y,1:y,,0.948
79,1:y,1:y,,0.993
80,2:n,2:n,,1
81,1:y,1:y,,0.778
82,1:y,1:y,,0.733
83,1:y,1:y,,0.978
84,1:y,1:y,,0.97
85,1:y,1:y,,0.681
86,1:y,1:y,,0.956
87,1:y,2:n,+,0.978
88,2:n,2:n,,1
89,1:y,1:y,,0.941
90,2:n,2:n,,0.993
91,2:n,1:y,+,0.993
92,1:y,1:y,,0.948
93,1:y,1:y,,0.993
94,2:n,2:n,,1
95,2:n,2:n,,0.993
96,1:y,2:n,+,0.985
97,2:n,1:y,+,0.741
98,2:n,2:n,,0.993
99,1:y,1:y,,0.933
100,1:y,1:y,,0.778
101,2:n,2:n,,1
102,2:n,2:n,,0.993
103,1:y,1:y,,0.948
104,2:n,2:n,,0.97
105,1:y,1:y,,0.993
106,2:n,1:y,+,0.526
107,1:y,1:y,,0.985
108,2:n,2:n,,0.993
109,1:y,1:y,,0.956
110,2:n,2:n,,0.733
111,1:y,1:y,,0.956
112,2:n,1:y,+,0.822
113,2:n,2:n,,1
114,2:n,2:n,,0.978
115,1:y,1:y,,0.919
116,2:n,1:y,+,0.83
117,1:y,1:y,,0.933
118,2:n,2:n,,0.993
119,2:n,1:y,+,0.711
120,2:n,2:n,,0.993
121,2:n,2:n,,1
122,2:n,2:n,,0.985
123,2:n,2:n,,1
124,1:y,1:y,,0.985
125,2:n,2:n,,0.993
126,2:n,1:y,+,0.689
127,2:n,2:n,,1
128,2:n,2:n,,1
129,2:n,2:n,,1
130,2:n,2:n,,0.97
131,1:y,1:y,,0.993
132,1:y,1:y,,0.844
133,1:y,1:y,,0.978
134,1:y,1:y,,0.844
135,2:n,1:y,+,0.956
136,1:y,1:y,,0.77
137,2:n,2:n,,0.919
138,2:n,2:n,,1
139,1:y,1:y,,0.97
140,1:y,1:y,,0.963
141,2:n,2:n,,1
142,1:y,1:y,,0.993
143,2:n,1:y,+,0.681
144,1:y,2:n,+,0.6
145,1:y,1:y,,0.978
146,2:n,2:n,,1
147,1:y,1:y,,0.807
148,1:y,1:y,,0.778
149,2:n,2:n,,0.993
150,1:y,1:y,,0.926
151,2:n,2:n,,0.993
152,2:n,1:y,+,0.97
153,2:n,2:n,,0.993
154,2:n,2:n,,0.993
155,2:n,2:n,,0.993
156,1:y,1:y,,0.933
157,1:y,2:n,+,1
158,1:y,1:y,,0.919
159,1:y,1:y,,0.956
160,1:y,1:y,,0.963
161,2:n,2:n,,1
162,1:y,1:y,,0.993
163,2:n,2:n,,1
164,1:y,1:y,,0.963
165,1:y,1:y,,0.985
166,1:y,1:y,,0.97
167,2:n,2:n,,0.97
168,1:y,1:y,,0.948
169,1:y,1:y,,0.993
170,2:n,2:n,,0.993
171,1:y,1:y,,0.681
172,2:n,1:y,+,0.933
173,2:n,2:n,,0.978
174,1:y,1:y,,0.985
175,1:y,1:y,,0.941
176,1:y,1:y,,0.993
177,2:n,2:n,,0.985
178,1:y,1:y,,0.941
179,2:n,1:y,+,0.659
180,2:n,1:y,+,0.926
181,1:y,1:y,,0.978
182,1:y,1:y,,0.785
183,1:y,1:y,,0.985
184,2:n,2:n,,0.993
185,1:y,1:y,,0.963
186,1:y,1:y,,0.956
187,2:n,2:n,,0.993
188,1:y,1:y,,0.985
189,2:n,2:n,,1
190,1:y,1:y,,0.963
191,2:n,2:n,,1
192,2:n,1:y,+,0.933
