
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.571
2,1:y,1:y,,0.657
3,1:y,1:y,,0.886
4,2:n,1:y,+,0.714
5,2:n,2:n,,0.971
6,2:n,1:y,+,0.771
7,2:n,2:n,,1
8,2:n,2:n,,0.543
9,2:n,1:y,+,0.657
10,1:y,1:y,,0.543
11,2:n,2:n,,1
12,1:y,1:y,,0.943
13,1:y,1:y,,1
14,2:n,1:y,+,0.8
15,1:y,2:n,+,1
16,2:n,1:y,+,0.714
17,1:y,1:y,,0.971
18,1:y,1:y,,0.629
19,2:n,2:n,,0.8
20,1:y,2:n,+,0.629
21,2:n,2:n,,1
22,1:y,2:n,+,0.6
23,1:y,1:y,,0.971
24,2:n,2:n,,0.657
25,2:n,2:n,,0.629
26,2:n,2:n,,0.857
27,1:y,1:y,,0.914
28,2:n,1:y,+,0.571
29,1:y,2:n,+,0.686
30,2:n,2:n,,1
31,1:y,1:y,,0.914
32,1:y,1:y,,0.771
33,1:y,1:y,,0.886
34,2:n,2:n,,1
35,1:y,2:n,+,0.514
36,2:n,1:y,+,0.543
37,1:y,1:y,,1
38,1:y,1:y,,0.971
39,1:y,2:n,+,0.632
40,1:y,1:y,,0.971
41,2:n,2:n,,1
42,1:y,1:y,,0.971
43,2:n,2:n,,1
44,2:n,1:y,+,0.686
45,1:y,1:y,,0.686
46,1:y,1:y,,0.829
47,2:n,1:y,+,0.743
48,2:n,2:n,,1
49,1:y,1:y,,1
50,2:n,2:n,,0.829
51,1:y,1:y,,0.971
52,1:y,2:n,+,0.657
53,2:n,1:y,+,0.686
54,1:y,1:y,,0.657
55,2:n,2:n,,1
56,1:y,2:n,+,0.514
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,1
60,1:y,1:y,,0.8
61,2:n,1:y,+,0.743
62,2:n,2:n,,1
63,1:y,1:y,,0.714
64,2:n,1:y,+,0.657
65,1:y,2:n,+,0.771
66,1:y,1:y,,0.8
67,1:y,1:y,,0.686
68,2:n,2:n,,0.857
69,1:y,1:y,,0.543
70,2:n,2:n,,0.829
71,1:y,1:y,,0.686
72,2:n,2:n,,0.857
73,1:y,2:n,+,0.8
74,2:n,2:n,,0.829
75,2:n,2:n,,1
76,2:n,1:y,+,0.571
77,2:n,2:n,,1
78,1:y,1:y,,0.771
79,1:y,1:y,,0.943
80,2:n,2:n,,1
81,1:y,1:y,,0.829
82,1:y,2:n,+,0.686
83,1:y,1:y,,0.829
84,1:y,1:y,,0.714
85,1:y,1:y,,0.657
86,1:y,1:y,,0.8
87,1:y,1:y,,0.743
88,2:n,2:n,,1
89,1:y,2:n,+,0.6
90,2:n,2:n,,0.857
91,2:n,1:y,+,0.971
92,1:y,1:y,,0.8
93,1:y,1:y,,1
94,2:n,2:n,,1
95,2:n,2:n,,0.6
96,1:y,1:y,,0.771
97,2:n,2:n,,0.543
98,2:n,2:n,,0.8
99,1:y,2:n,+,0.629
100,1:y,1:y,,1
101,2:n,2:n,,1
102,2:n,2:n,,1
103,1:y,1:y,,0.857
104,2:n,2:n,,1
105,1:y,1:y,,0.971
106,2:n,2:n,,0.857
107,1:y,1:y,,0.971
108,2:n,2:n,,0.857
109,1:y,1:y,,0.8
110,2:n,2:n,,0.886
111,1:y,1:y,,0.6
112,2:n,1:y,+,0.8
113,2:n,2:n,,1
114,2:n,2:n,,1
115,1:y,1:y,,0.857
