
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.906
2,1:y,1:y,,0.887
3,1:y,1:y,,0.925
4,2:n,2:n,,0.755
5,2:n,2:n,,0.981
6,2:n,2:n,,0.962
7,2:n,2:n,,1
8,2:n,2:n,,1
9,2:n,2:n,,1
10,1:y,1:y,,0.849
11,2:n,2:n,,0.981
12,1:y,1:y,,0.962
13,1:y,1:y,,0.981
14,2:n,2:n,,0.925
15,1:y,2:n,+,0.962
16,2:n,2:n,,1
17,1:y,1:y,,0.981
18,1:y,1:y,,0.868
19,2:n,2:n,,0.66
20,1:y,1:y,,0.887
21,2:n,2:n,,1
22,1:y,1:y,,0.887
23,1:y,1:y,,0.981
24,2:n,2:n,,1
25,2:n,2:n,,1
26,2:n,2:n,,0.981
27,1:y,1:y,,0.943
28,2:n,1:y,+,0.679
29,1:y,1:y,,0.868
30,2:n,2:n,,1
31,1:y,1:y,,0.943
32,1:y,1:y,,0.962
33,1:y,1:y,,0.925
34,2:n,2:n,,1
35,1:y,1:y,,0.887
36,2:n,1:y,+,0.66
37,1:y,1:y,,0.981
38,1:y,1:y,,0.981
39,1:y,1:y,,0.925
40,1:y,1:y,,0.943
41,2:n,2:n,,1
42,1:y,1:y,,0.981
43,2:n,2:n,,1
44,2:n,2:n,,0.962
45,1:y,1:y,,0.66
46,1:y,1:y,,0.925
47,2:n,1:y,+,0.925
48,2:n,2:n,,1
49,1:y,1:y,,1
50,2:n,2:n,,0.981
51,1:y,1:y,,0.981
52,1:y,1:y,,0.509
53,2:n,1:y,+,0.925
54,1:y,1:y,,0.887
55,2:n,2:n,,1
56,1:y,1:y,,0.943
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,0.981
60,1:y,1:y,,0.887
61,2:n,2:n,,1
62,2:n,2:n,,1
63,1:y,1:y,,0.906
64,2:n,2:n,,0.962
65,1:y,1:y,,0.868
66,1:y,1:y,,0.698
67,1:y,1:y,,0.943
68,2:n,2:n,,0.981
69,1:y,1:y,,0.925
70,2:n,2:n,,0.981
71,1:y,1:y,,0.906
72,2:n,2:n,,0.981
73,1:y,1:y,,0.868
74,2:n,2:n,,0.981
75,2:n,2:n,,1
76,2:n,2:n,,1
77,2:n,2:n,,1
78,1:y,1:y,,0.925
79,1:y,1:y,,0.906
80,2:n,2:n,,1
81,1:y,1:y,,0.868
82,1:y,1:y,,0.868
83,1:y,1:y,,0.925
84,1:y,1:y,,0.962
85,1:y,1:y,,0.925
86,1:y,1:y,,0.868
87,1:y,2:n,+,0.962
88,2:n,2:n,,1
89,1:y,1:y,,0.962
90,2:n,2:n,,0.981
91,2:n,1:y,+,0.981
92,1:y,1:y,,0.849
93,1:y,1:y,,1
94,2:n,2:n,,1
95,2:n,2:n,,1
96,1:y,2:n,+,0.981
97,2:n,1:y,+,0.755
98,2:n,2:n,,0.981
99,1:y,1:y,,0.868
100,1:y,1:y,,0.849
101,2:n,2:n,,1
102,2:n,2:n,,1
103,1:y,1:y,,0.925
104,2:n,2:n,,1
105,1:y,1:y,,0.981
106,2:n,2:n,,0.679
107,1:y,1:y,,0.981
108,2:n,2:n,,0.981
109,1:y,1:y,,0.925
110,2:n,2:n,,0.887
111,1:y,1:y,,0.906
112,2:n,1:y,+,0.925
113,2:n,2:n,,1
114,2:n,2:n,,1
115,1:y,1:y,,0.887
116,2:n,1:y,+,0.962
117,1:y,1:y,,0.887
118,2:n,2:n,,0.981
119,2:n,1:y,+,0.755
120,2:n,2:n,,1
121,2:n,2:n,,0.981
122,2:n,2:n,,0.981
123,2:n,2:n,,1
124,1:y,1:y,,0.981
125,2:n,2:n,,0.981
126,2:n,1:y,+,0.962
127,2:n,2:n,,1
128,2:n,2:n,,1
129,2:n,2:n,,1
130,2:n,2:n,,0.981
131,1:y,1:y,,0.981
132,1:y,1:y,,0.981
133,1:y,1:y,,0.83
134,1:y,1:y,,0.962
135,2:n,1:y,+,0.925
136,1:y,1:y,,0.868
137,2:n,2:n,,0.849
138,2:n,2:n,,1
139,1:y,1:y,,0.925
140,1:y,1:y,,0.925
141,2:n,2:n,,1
142,1:y,1:y,,0.981
143,2:n,2:n,,0.66
144,1:y,2:n,+,0.528
145,1:y,1:y,,0.981
146,2:n,2:n,,0.981
147,1:y,1:y,,0.962
148,1:y,1:y,,0.943
149,2:n,2:n,,1
150,1:y,1:y,,0.887
151,2:n,2:n,,1
152,2:n,1:y,+,0.981
153,2:n,2:n,,1
154,2:n,2:n,,0.981
155,2:n,2:n,,1
156,1:y,1:y,,0.962
157,1:y,2:n,+,1
158,1:y,1:y,,0.887
159,1:y,1:y,,0.962
160,1:y,1:y,,0.906
161,2:n,2:n,,1
162,1:y,1:y,,1
163,2:n,2:n,,1
164,1:y,1:y,,0.849
165,1:y,1:y,,0.981
166,1:y,1:y,,0.962
167,2:n,2:n,,0.981
168,1:y,1:y,,1
169,1:y,1:y,,0.981
170,2:n,2:n,,0.981
171,1:y,1:y,,0.868
172,2:n,1:y,+,0.887
173,2:n,2:n,,0.962
174,1:y,1:y,,0.981
175,1:y,1:y,,0.925
176,1:y,1:y,,0.962
177,2:n,2:n,,0.981
178,1:y,1:y,,0.943
179,2:n,2:n,,0.679
180,2:n,1:y,+,0.943
181,1:y,1:y,,0.981
182,1:y,1:y,,0.981
183,1:y,1:y,,1
184,2:n,2:n,,0.983
185,1:y,1:y,,0.981
186,1:y,1:y,,0.962
187,2:n,2:n,,0.981
188,1:y,1:y,,1
189,2:n,2:n,,1
190,1:y,1:y,,0.981
191,2:n,2:n,,1
192,2:n,1:y,+,0.849
193,1:y,1:y,,0.962
194,2:n,2:n,,0.604
195,1:y,1:y,,0.509
196,1:y,1:y,,0.962
197,1:y,1:y,,0.962
198,2:n,2:n,,1
199,2:n,2:n,,1
200,1:y,1:y,,0.868
201,2:n,2:n,,1
202,2:n,2:n,,1
203,2:n,2:n,,0.981
204,1:y,1:y,,0.83
205,2:n,2:n,,0.736
206,1:y,1:y,,0.962
207,1:y,1:y,,1
208,1:y,2:n,+,0.566
209,2:n,2:n,,1
210,1:y,1:y,,0.925
211,1:y,1:y,,0.981
212,2:n,2:n,,1
213,1:y,1:y,,0.868
214,1:y,1:y,,0.981
215,2:n,1:y,+,0.906
216,1:y,1:y,,0.962
217,1:y,1:y,,0.868
218,1:y,1:y,,0.679
219,2:n,2:n,,0.981
220,2:n,2:n,,0.983
221,2:n,2:n,,1
222,1:y,1:y,,0.943
223,2:n,2:n,,1
224,2:n,2:n,,0.981
225,1:y,1:y,,0.906
226,1:y,1:y,,0.849
227,1:y,1:y,,0.943
228,1:y,1:y,,0.849
229,1:y,1:y,,1
230,1:y,1:y,,0.962
231,2:n,2:n,,0.981
232,1:y,2:n,+,0.698
233,1:y,1:y,,0.981
234,1:y,1:y,,0.868
235,2:n,2:n,,1
236,1:y,1:y,,0.981
237,2:n,2:n,,1
238,1:y,1:y,,0.981
239,1:y,1:y,,0.811
240,1:y,1:y,,0.981
241,1:y,1:y,,0.887
242,1:y,1:y,,0.981
243,2:n,2:n,,1
244,2:n,2:n,,1
245,1:y,1:y,,0.981
246,2:n,1:y,+,0.981
247,1:y,1:y,,0.943
248,2:n,2:n,,0.717
249,1:y,1:y,,0.868
250,1:y,2:n,+,1
251,1:y,1:y,,0.943
252,1:y,1:y,,0.83
253,1:y,1:y,,0.943
254,1:y,1:y,,0.887
255,1:y,1:y,,0.962
256,1:y,1:y,,0.981
257,1:y,1:y,,1
258,1:y,2:n,+,1
259,1:y,1:y,,0.962
260,1:y,1:y,,1
261,1:y,1:y,,0.943
262,1:y,1:y,,0.981
263,1:y,1:y,,0.925
264,1:y,1:y,,0.717
265,1:y,1:y,,1
