
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.763
2,1:y,1:y,,0.729
3,1:y,1:y,,0.932
4,2:n,1:y,+,0.966
5,2:n,2:n,,1
6,2:n,1:y,+,0.881
7,2:n,2:n,,1
8,2:n,1:y,+,0.61
9,2:n,1:y,+,0.712
10,1:y,1:y,,0.644
11,2:n,2:n,,0.949
12,1:y,1:y,,0.864
13,1:y,1:y,,0.797
14,2:n,1:y,+,0.678
15,1:y,2:n,+,0.915
16,2:n,1:y,+,0.78
17,1:y,1:y,,0.847
18,1:y,1:y,,0.831
19,2:n,1:y,+,0.542
20,1:y,1:y,,0.61
21,2:n,2:n,,1
22,1:y,1:y,,0.678
23,1:y,1:y,,0.898
24,2:n,1:y,+,0.593
25,2:n,1:y,+,0.576
26,2:n,2:n,,0.746
27,1:y,1:y,,0.898
28,2:n,2:n,,0.678
29,1:y,1:y,,0.644
30,2:n,2:n,,1
31,1:y,1:y,,0.949
32,1:y,1:y,,0.763
33,1:y,1:y,,0.932
34,2:n,2:n,,1
35,1:y,1:y,,0.729
36,2:n,1:y,+,0.644
37,1:y,1:y,,0.712
38,1:y,1:y,,0.729
39,1:y,1:y,,0.593
40,1:y,1:y,,0.695
41,2:n,2:n,,1
42,1:y,1:y,,0.763
43,2:n,2:n,,1
44,2:n,1:y,+,0.661
45,1:y,1:y,,0.644
46,1:y,1:y,,0.847
47,2:n,1:y,+,0.763
48,2:n,2:n,,1
49,1:y,1:y,,0.847
50,2:n,2:n,,0.576
51,1:y,1:y,,0.932
52,1:y,2:n,+,0.525
53,2:n,1:y,+,0.797
54,1:y,1:y,,0.627
55,2:n,2:n,,1
56,1:y,1:y,,0.678
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,0.983
60,1:y,1:y,,0.932
61,2:n,1:y,+,0.831
62,2:n,2:n,,0.966
63,1:y,1:y,,0.881
64,2:n,1:y,+,0.746
65,1:y,2:n,+,0.525
66,1:y,2:n,+,0.644
67,1:y,1:y,,0.763
68,2:n,2:n,,0.763
69,1:y,1:y,,0.695
70,2:n,2:n,,0.61
71,1:y,1:y,,0.847
72,2:n,2:n,,0.695
73,1:y,2:n,+,0.576
74,2:n,2:n,,0.661
75,2:n,2:n,,1
76,2:n,1:y,+,0.763
77,2:n,2:n,,1
78,1:y,1:y,,0.797
79,1:y,2:n,+,0.678
80,2:n,2:n,,1
81,1:y,1:y,,0.729
82,1:y,1:y,,0.678
83,1:y,1:y,,0.915
84,1:y,1:y,,0.814
85,1:y,1:y,,0.729
86,1:y,1:y,,0.729
87,1:y,1:y,,0.678
88,2:n,2:n,,1
89,1:y,1:y,,0.627
90,2:n,2:n,,0.763
91,2:n,2:n,,0.644
92,1:y,1:y,,0.864
93,1:y,1:y,,0.797
94,2:n,2:n,,0.932
95,2:n,1:y,+,0.712
96,1:y,1:y,,0.864
97,2:n,2:n,,0.508
98,2:n,2:n,,0.525
99,1:y,1:y,,0.661
100,1:y,1:y,,0.661
101,2:n,2:n,,1
102,2:n,2:n,,1
103,1:y,1:y,,0.831
104,2:n,2:n,,1
105,1:y,1:y,,0.898
106,2:n,2:n,,0.712
107,1:y,1:y,,0.712
108,2:n,2:n,,0.712
109,1:y,1:y,,0.881
110,2:n,2:n,,0.915
111,1:y,1:y,,0.78
112,2:n,2:n,,0.966
113,2:n,2:n,,1
114,2:n,2:n,,0.983
115,1:y,1:y,,0.932
116,2:n,2:n,,0.712
117,1:y,1:y,,0.678
118,2:n,2:n,,0.661
119,2:n,2:n,,1
120,2:n,2:n,,0.508
121,2:n,1:y,+,0.559
122,2:n,1:y,+,0.831
123,2:n,2:n,,1
124,1:y,1:y,,0.729
125,2:n,2:n,,0.729
126,2:n,1:y,+,0.881
127,2:n,2:n,,0.983
128,2:n,2:n,,1
129,2:n,2:n,,1
130,2:n,2:n,,1
131,1:y,1:y,,0.932
132,1:y,1:y,,0.712
133,1:y,1:y,,0.712
134,1:y,1:y,,0.814
