
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.937
2,1:y,1:y,,0.873
3,1:y,1:y,,0.92
4,2:n,1:y,+,0.58
5,2:n,2:n,,0.973
6,2:n,1:y,+,0.689
7,2:n,2:n,,0.979
8,2:n,1:y,+,0.646
9,2:n,2:n,,0.694
10,1:y,1:y,,0.771
11,2:n,2:n,,0.917
12,1:y,1:y,,0.961
13,1:y,1:y,,0.987
14,2:n,1:y,+,0.887
15,1:y,2:n,+,0.887
16,2:n,2:n,,0.711
17,1:y,1:y,,0.91
18,1:y,2:n,+,0.556
19,2:n,2:n,,0.826
20,1:y,1:y,,0.823
21,2:n,2:n,,0.993
22,1:y,1:y,,0.731
23,1:y,1:y,,0.993
24,2:n,2:n,,0.626
25,2:n,1:y,+,0.699
26,2:n,2:n,,0.9
27,1:y,1:y,,0.944
28,2:n,1:y,+,0.596
29,1:y,1:y,,0.87
30,2:n,2:n,,0.961
31,1:y,1:y,,0.991
32,1:y,1:y,,0.844
33,1:y,1:y,,0.926
34,2:n,2:n,,0.861
35,1:y,1:y,,0.794
36,2:n,2:n,,0.714
37,1:y,1:y,,0.954
38,1:y,1:y,,0.98
39,1:y,1:y,,0.903
40,1:y,1:y,,0.96
41,2:n,2:n,,0.971
42,1:y,1:y,,0.986
43,2:n,2:n,,0.966
44,2:n,2:n,,0.666
45,1:y,1:y,,0.853
46,1:y,1:y,,0.98
47,2:n,1:y,+,0.893
48,2:n,2:n,,0.961
49,1:y,1:y,,0.997
50,2:n,2:n,,0.634
51,1:y,1:y,,0.993
52,1:y,1:y,,0.659
53,2:n,1:y,+,0.937
54,1:y,1:y,,0.67
55,2:n,2:n,,0.991
56,1:y,1:y,,0.79
57,2:n,2:n,,0.986
58,2:n,2:n,,0.856
59,1:y,2:n,+,0.919
60,1:y,1:y,,0.936
61,2:n,1:y,+,0.626
62,2:n,2:n,,0.986
63,1:y,1:y,,0.884
64,2:n,2:n,,0.504
65,1:y,1:y,,0.791
66,1:y,1:y,,0.907
67,1:y,1:y,,0.853
68,2:n,1:y,+,0.6
69,1:y,1:y,,0.794
70,2:n,2:n,,0.761
71,1:y,1:y,,0.671
72,2:n,2:n,,0.956
73,1:y,1:y,,0.816
74,2:n,2:n,,0.917
75,2:n,2:n,,0.961
76,2:n,2:n,,0.65
77,2:n,2:n,,0.98
78,1:y,1:y,,0.899
79,1:y,1:y,,0.941
80,2:n,2:n,,0.976
81,1:y,1:y,,0.951
82,1:y,2:n,+,0.63
83,1:y,1:y,,0.689
84,1:y,1:y,,0.779
85,1:y,1:y,,0.91
86,1:y,1:y,,0.63
87,1:y,1:y,,0.704
88,2:n,2:n,,0.951
89,1:y,1:y,,0.856
90,2:n,2:n,,0.717
91,2:n,1:y,+,0.846
92,1:y,1:y,,0.954
93,1:y,1:y,,0.977
94,2:n,2:n,,0.989
95,2:n,1:y,+,0.769
96,1:y,1:y,,0.831
97,2:n,2:n,,0.863
98,2:n,1:y,+,0.601
99,1:y,1:y,,0.727
100,1:y,1:y,,0.967
101,2:n,2:n,,0.976
102,2:n,2:n,,0.969
103,1:y,1:y,,0.846
104,2:n,2:n,,0.877
105,1:y,1:y,,0.999
106,2:n,2:n,,1
107,1:y,1:y,,0.891
108,2:n,2:n,,0.874
109,1:y,1:y,,0.834
110,2:n,2:n,,0.706
111,1:y,1:y,,0.96
112,2:n,2:n,,0.979
113,2:n,2:n,,0.974
114,2:n,2:n,,0.929
115,1:y,1:y,,0.906
116,2:n,1:y,+,0.863
117,1:y,1:y,,0.689
118,2:n,2:n,,0.944
119,2:n,2:n,,0.946
120,2:n,1:y,+,0.689
121,2:n,1:y,+,0.823
122,2:n,1:y,+,0.936
123,2:n,2:n,,0.989
124,1:y,1:y,,0.94
125,2:n,2:n,,0.943
126,2:n,1:y,+,0.57
127,2:n,2:n,,0.986
128,2:n,2:n,,0.97
129,2:n,2:n,,0.977
130,2:n,2:n,,0.961
131,1:y,1:y,,0.997
132,1:y,1:y,,0.896
133,1:y,1:y,,0.786
134,1:y,1:y,,0.894
135,2:n,2:n,,0.937
136,1:y,1:y,,0.964
137,2:n,2:n,,0.976
138,2:n,2:n,,0.959
139,1:y,1:y,,0.957
140,1:y,1:y,,0.913
141,2:n,2:n,,0.969
142,1:y,1:y,,0.979
143,2:n,2:n,,0.789
144,1:y,1:y,,0.844
145,1:y,1:y,,0.72
146,2:n,1:y,+,0.583
147,1:y,1:y,,0.953
148,1:y,1:y,,0.53
149,2:n,2:n,,0.956
150,1:y,1:y,,0.657
151,2:n,1:y,+,0.587
152,2:n,1:y,+,0.813
153,2:n,1:y,+,0.566
154,2:n,2:n,,0.889
155,2:n,1:y,+,0.626
156,1:y,1:y,,0.969
157,1:y,2:n,+,0.956
158,1:y,1:y,,0.9
159,1:y,1:y,,0.95
160,1:y,1:y,,0.899
161,2:n,2:n,,0.919
162,1:y,1:y,,0.997
163,2:n,2:n,,0.986
164,1:y,1:y,,0.977
165,1:y,1:y,,0.956
166,1:y,1:y,,0.801
167,2:n,1:y,+,0.849
168,1:y,1:y,,0.979
169,1:y,1:y,,0.92
170,2:n,2:n,,0.87
171,1:y,1:y,,0.623
172,2:n,1:y,+,0.837
173,2:n,1:y,+,0.571
174,1:y,1:y,,0.971
175,1:y,1:y,,0.95
176,1:y,1:y,,0.983
177,2:n,2:n,,0.889
178,1:y,1:y,,0.971
179,2:n,2:n,,0.746
180,2:n,2:n,,0.903
181,1:y,1:y,,0.977
182,1:y,1:y,,0.974
183,1:y,1:y,,0.951
184,2:n,2:n,,0.753
185,1:y,1:y,,0.923
186,1:y,1:y,,0.883
187,2:n,1:y,+,0.761
188,1:y,1:y,,0.989
189,2:n,2:n,,0.981
190,1:y,1:y,,0.924
191,2:n,2:n,,0.986
192,2:n,2:n,,0.954
193,1:y,1:y,,0.887
194,2:n,2:n,,0.901
195,1:y,1:y,,0.694
196,1:y,1:y,,0.501
197,1:y,1:y,,0.946
198,2:n,1:y,+,0.791
199,2:n,2:n,,0.713
200,1:y,1:y,,0.984
201,2:n,2:n,,0.51
202,2:n,2:n,,0.991
203,2:n,1:y,+,0.764
204,1:y,1:y,,0.966
205,2:n,2:n,,0.763
206,1:y,1:y,,0.973
207,1:y,1:y,,0.967
208,1:y,1:y,,0.756
209,2:n,1:y,+,0.537
210,1:y,1:y,,0.796
211,1:y,1:y,,0.967
212,2:n,2:n,,0.919
213,1:y,2:n,+,0.713
214,1:y,1:y,,0.987
215,2:n,2:n,,0.757
216,1:y,1:y,,0.954
217,1:y,1:y,,0.777
218,1:y,1:y,,0.781
219,2:n,1:y,+,0.683
220,2:n,1:y,+,0.577
221,2:n,2:n,,0.99
222,1:y,1:y,,0.594
223,2:n,2:n,,0.97
224,2:n,2:n,,0.863
225,1:y,1:y,,0.836
226,1:y,1:y,,0.659
227,1:y,1:y,,0.821
228,1:y,1:y,,0.793
229,1:y,1:y,,0.95
230,1:y,1:y,,1
231,2:n,2:n,,0.68
232,1:y,2:n,+,0.706
233,1:y,1:y,,0.647
234,1:y,1:y,,0.883
235,2:n,2:n,,0.976
236,1:y,1:y,,0.984
237,2:n,2:n,,0.957
238,1:y,1:y,,0.974
239,1:y,1:y,,0.876
240,1:y,1:y,,0.991
241,1:y,1:y,,0.803
242,1:y,1:y,,0.914
243,2:n,2:n,,0.983
244,2:n,2:n,,0.93
245,1:y,1:y,,0.956
246,2:n,1:y,+,0.96
247,1:y,1:y,,0.829
248,2:n,2:n,,0.96
249,1:y,1:y,,0.714
250,1:y,2:n,+,0.954
251,1:y,1:y,,0.657
252,1:y,1:y,,0.989
253,1:y,1:y,,0.811
254,1:y,1:y,,0.647
255,1:y,1:y,,0.99
256,1:y,1:y,,0.98
257,1:y,1:y,,0.994
258,1:y,2:n,+,0.941
259,1:y,1:y,,0.969
260,1:y,1:y,,0.937
261,1:y,1:y,,0.994
262,1:y,1:y,,0.971
263,1:y,1:y,,0.821
264,1:y,1:y,,0.881
265,1:y,1:y,,0.959
266,1:y,1:y,,0.914
267,1:y,2:n,+,0.54
268,1:y,1:y,,0.823
269,2:n,2:n,,0.64
270,1:y,1:y,,0.743
271,1:y,1:y,,0.973
272,1:y,1:y,,0.894
273,2:n,2:n,,0.643
274,1:y,1:y,,0.893
275,2:n,1:y,+,0.714
276,1:y,1:y,,0.991
277,1:y,1:y,,0.944
278,1:y,1:y,,0.816
279,1:y,1:y,,0.991
280,1:y,1:y,,0.697
281,2:n,2:n,,0.754
282,1:y,1:y,,0.933
283,1:y,1:y,,0.866
284,2:n,1:y,+,0.56
285,1:y,1:y,,0.846
286,2:n,2:n,,0.987
287,1:y,1:y,,0.941
288,1:y,1:y,,0.954
289,2:n,2:n,,0.911
290,2:n,2:n,,0.761
291,2:n,2:n,,0.983
292,2:n,2:n,,0.727
293,2:n,2:n,,0.913
294,1:y,1:y,,0.919
295,1:y,1:y,,0.97
296,2:n,2:n,,0.943
297,1:y,1:y,,0.967
298,1:y,1:y,,0.949
299,2:n,2:n,,0.77
300,1:y,1:y,,0.853
301,2:n,2:n,,0.951
302,2:n,1:y,+,0.563
303,1:y,1:y,,0.886
304,2:n,2:n,,0.983
305,1:y,1:y,,0.95
306,1:y,1:y,,0.97
307,1:y,2:n,+,0.707
308,2:n,2:n,,0.897
309,1:y,1:y,,0.95
310,1:y,1:y,,0.889
311,2:n,1:y,+,0.807
312,1:y,1:y,,0.501
313,2:n,2:n,,0.93
314,2:n,2:n,,0.614
315,1:y,1:y,,0.84
316,2:n,2:n,,0.984
317,2:n,2:n,,0.974
318,1:y,1:y,,0.91
319,1:y,1:y,,0.851
320,2:n,2:n,,1
321,2:n,2:n,,0.94
322,2:n,2:n,,0.976
323,1:y,1:y,,0.973
324,1:y,1:y,,0.883
325,1:y,1:y,,0.949
326,1:y,1:y,,0.851
327,1:y,1:y,,0.993
328,2:n,2:n,,0.977
329,1:y,1:y,,0.997
330,1:y,1:y,,0.967
331,1:y,1:y,,0.894
332,1:y,1:y,,0.984
333,1:y,1:y,,0.791
334,1:y,1:y,,0.827
335,1:y,1:y,,0.91
336,1:y,1:y,,0.953
337,1:y,1:y,,0.714
338,2:n,2:n,,0.72
339,1:y,1:y,,0.887
340,2:n,2:n,,0.944
341,1:y,1:y,,0.951
342,1:y,1:y,,0.911
343,2:n,2:n,,0.983
344,1:y,1:y,,0.984
345,2:n,2:n,,1
346,1:y,2:n,+,0.591
347,2:n,2:n,,0.977
348,1:y,1:y,,0.951
349,2:n,2:n,,0.661
350,2:n,2:n,,0.883
351,1:y,1:y,,0.81
352,1:y,1:y,,0.973
353,1:y,1:y,,0.914
354,2:n,2:n,,0.981
355,2:n,2:n,,0.77
356,2:n,1:y,+,0.639
357,1:y,1:y,,0.953
358,1:y,1:y,,0.949
359,2:n,2:n,,0.954
360,2:n,2:n,,0.969
361,1:y,1:y,,0.874
362,2:n,2:n,,0.957
363,1:y,1:y,,0.979
364,1:y,1:y,,0.966
365,1:y,1:y,,0.95
366,1:y,1:y,,0.899
367,2:n,2:n,,0.979
368,1:y,1:y,,0.994
369,1:y,1:y,,0.993
370,2:n,2:n,,0.976
371,1:y,1:y,,0.987
372,1:y,1:y,,0.983
373,1:y,1:y,,0.987
374,1:y,1:y,,0.964
375,1:y,1:y,,0.869
376,2:n,1:y,+,0.557
377,1:y,1:y,,0.827
378,1:y,1:y,,0.774
379,1:y,1:y,,0.809
380,1:y,1:y,,0.719
381,1:y,1:y,,0.633
382,2:n,2:n,,0.9
383,1:y,1:y,,0.623
384,2:n,2:n,,0.979
385,2:n,2:n,,0.891
386,1:y,1:y,,0.683
387,2:n,2:n,,0.867
388,2:n,2:n,,0.891
389,2:n,2:n,,0.96
390,2:n,1:y,+,0.657
391,1:y,1:y,,0.851
392,1:y,1:y,,0.944
393,1:y,1:y,,0.78
394,1:y,1:y,,0.804
395,2:n,2:n,,0.976
396,1:y,1:y,,0.843
397,2:n,2:n,,0.626
398,2:n,2:n,,0.924
399,1:y,1:y,,0.951
400,2:n,1:y,+,0.743
401,1:y,1:y,,0.81
402,2:n,2:n,,1
403,2:n,2:n,,0.92
404,2:n,2:n,,0.962
405,1:y,1:y,,0.91
406,1:y,1:y,,0.95
407,2:n,2:n,,0.959
408,1:y,1:y,,0.679
409,1:y,1:y,,0.704
410,1:y,1:y,,0.987
411,1:y,1:y,,0.984
412,1:y,1:y,,0.704
413,1:y,1:y,,0.653
414,1:y,1:y,,0.837
415,2:n,2:n,,0.953
416,2:n,2:n,,0.967
417,1:y,1:y,,0.997
418,2:n,2:n,,0.98
419,2:n,2:n,,0.944
420,1:y,1:y,,0.993
421,1:y,1:y,,0.701
422,1:y,1:y,,0.883
423,2:n,1:y,+,0.789
424,1:y,1:y,,0.746
425,1:y,1:y,,0.999
426,1:y,1:y,,0.881
427,2:n,2:n,,0.977
428,1:y,1:y,,0.883
429,2:n,2:n,,0.951
430,1:y,1:y,,0.779
431,1:y,1:y,,0.876
432,1:y,1:y,,0.996
433,2:n,2:n,,0.969
434,2:n,2:n,,0.731
435,1:y,1:y,,0.751
436,2:n,2:n,,0.951
437,2:n,2:n,,0.977
438,2:n,2:n,,0.94
439,1:y,1:y,,0.959
440,1:y,2:n,+,0.853
441,1:y,1:y,,0.713
442,1:y,1:y,,0.953
443,1:y,1:y,,0.93
444,2:n,2:n,,0.964
445,2:n,1:y,+,0.867
446,1:y,1:y,,0.83
447,2:n,2:n,,0.986
448,2:n,2:n,,0.981
449,1:y,1:y,,0.864
450,1:y,1:y,,0.957
451,1:y,2:n,+,0.539
452,2:n,2:n,,0.844
453,2:n,1:y,+,0.509
454,1:y,1:y,,0.881
455,1:y,1:y,,0.871
456,1:y,1:y,,0.827
457,2:n,2:n,,0.963
458,1:y,1:y,,0.81
459,1:y,1:y,,0.927
460,2:n,2:n,,0.984
461,2:n,1:y,+,0.886
462,2:n,2:n,,0.95
463,2:n,2:n,,0.92
464,2:n,2:n,,0.961
465,2:n,2:n,,0.977
466,1:y,1:y,,0.753
467,1:y,1:y,,0.936
468,2:n,2:n,,0.553
469,2:n,2:n,,0.98
470,2:n,2:n,,0.963
471,1:y,1:y,,0.89
472,2:n,2:n,,0.976
473,2:n,2:n,,0.99
474,2:n,2:n,,0.981
475,1:y,1:y,,0.627
476,2:n,2:n,,0.976
477,1:y,1:y,,0.979
478,2:n,2:n,,0.984
479,1:y,1:y,,0.906
480,2:n,2:n,,1
481,1:y,1:y,,0.976
482,2:n,1:y,+,0.976
483,1:y,1:y,,0.681
484,1:y,1:y,,0.811
485,2:n,2:n,,0.873
486,1:y,1:y,,0.831
487,1:y,1:y,,0.984
488,1:y,1:y,,0.837
489,1:y,1:y,,0.869
490,2:n,1:y,+,0.917
491,2:n,2:n,,0.967
492,2:n,2:n,,0.976
493,2:n,2:n,,0.949
494,2:n,2:n,,0.85
495,1:y,1:y,,0.903
496,2:n,2:n,,0.669
497,1:y,1:y,,0.999
498,2:n,2:n,,0.976
499,2:n,1:y,+,0.807
500,1:y,1:y,,0.829
501,1:y,1:y,,0.749
502,2:n,2:n,,0.906
503,2:n,2:n,,0.97
504,2:n,1:y,+,0.691
505,2:n,2:n,,0.979
506,2:n,2:n,,0.954
507,1:y,1:y,,0.893
508,1:y,1:y,,0.73
509,1:y,1:y,,0.953
510,2:n,2:n,,0.969
511,1:y,1:y,,0.676
512,2:n,2:n,,0.679
513,2:n,2:n,,0.82
514,2:n,2:n,,0.961
515,1:y,1:y,,0.959
516,1:y,1:y,,0.69
517,2:n,2:n,,0.984
518,1:y,1:y,,0.979
519,1:y,1:y,,0.706
520,1:y,1:y,,0.881
521,1:y,2:n,+,0.52
522,1:y,1:y,,0.577
523,2:n,2:n,,0.964
524,1:y,1:y,,0.804
