
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.984
2,1:y,1:y,,0.919
3,1:y,1:y,,0.949
4,2:n,2:n,,0.626
5,2:n,2:n,,0.976
6,2:n,2:n,,0.941
7,2:n,2:n,,0.979
8,2:n,2:n,,0.981
9,2:n,2:n,,0.991
10,1:y,1:y,,0.938
11,2:n,2:n,,0.904
12,1:y,1:y,,0.982
13,1:y,1:y,,0.98
14,2:n,2:n,,0.854
15,1:y,2:n,+,0.901
16,2:n,2:n,,0.995
17,1:y,1:y,,0.93
18,1:y,1:y,,0.901
19,2:n,2:n,,0.751
20,1:y,1:y,,0.965
21,2:n,2:n,,0.992
22,1:y,1:y,,0.945
23,1:y,1:y,,0.987
24,2:n,2:n,,0.994
25,2:n,2:n,,0.993
26,2:n,2:n,,0.991
27,1:y,1:y,,0.984
28,2:n,2:n,,0.589
29,1:y,1:y,,0.964
30,2:n,2:n,,0.966
31,1:y,1:y,,0.984
32,1:y,1:y,,0.973
33,1:y,1:y,,0.975
34,2:n,2:n,,0.856
35,1:y,1:y,,0.926
36,2:n,2:n,,0.739
37,1:y,1:y,,0.97
38,1:y,1:y,,0.981
39,1:y,1:y,,0.981
40,1:y,1:y,,0.991
41,2:n,2:n,,0.979
42,1:y,1:y,,0.99
43,2:n,2:n,,0.98
44,2:n,2:n,,0.987
45,1:y,1:y,,0.947
46,1:y,1:y,,0.99
47,2:n,1:y,+,0.968
48,2:n,2:n,,0.984
49,1:y,1:y,,0.999
50,2:n,2:n,,0.997
51,1:y,1:y,,0.992
52,1:y,1:y,,0.953
53,2:n,1:y,+,0.965
54,1:y,1:y,,0.876
55,2:n,2:n,,0.989
56,1:y,1:y,,0.962
57,2:n,2:n,,0.985
58,2:n,2:n,,0.865
59,1:y,2:n,+,0.89
60,1:y,1:y,,0.973
61,2:n,2:n,,0.976
62,2:n,2:n,,0.982
63,1:y,1:y,,0.973
64,2:n,2:n,,0.989
65,1:y,1:y,,0.947
66,1:y,1:y,,0.938
67,1:y,1:y,,0.956
68,2:n,2:n,,0.992
69,1:y,1:y,,0.937
70,2:n,2:n,,0.995
71,1:y,1:y,,0.958
72,2:n,2:n,,0.998
73,1:y,1:y,,0.938
74,2:n,2:n,,0.998
75,2:n,2:n,,0.967
76,2:n,2:n,,0.873
77,2:n,2:n,,0.979
78,1:y,1:y,,0.985
79,1:y,1:y,,0.955
80,2:n,2:n,,0.984
81,1:y,1:y,,0.96
82,1:y,1:y,,0.591
83,1:y,1:y,,0.88
84,1:y,1:y,,0.947
85,1:y,1:y,,0.938
86,1:y,1:y,,0.966
87,1:y,2:n,+,0.951
88,2:n,2:n,,0.972
89,1:y,1:y,,0.969
90,2:n,2:n,,0.994
91,2:n,1:y,+,0.912
92,1:y,1:y,,0.984
93,1:y,1:y,,0.983
94,2:n,2:n,,0.992
95,2:n,2:n,,0.98
96,1:y,2:n,+,0.919
97,2:n,2:n,,0.83
98,2:n,2:n,,0.998
99,1:y,1:y,,0.948
100,1:y,1:y,,0.984
101,2:n,2:n,,0.978
102,2:n,2:n,,0.971
103,1:y,1:y,,0.965
104,2:n,2:n,,0.882
105,1:y,1:y,,0.999
106,2:n,2:n,,1
107,1:y,1:y,,0.883
108,2:n,2:n,,0.994
109,1:y,1:y,,0.938
110,2:n,2:n,,0.714
111,1:y,1:y,,0.988
112,2:n,2:n,,0.972
113,2:n,2:n,,0.979
114,2:n,2:n,,0.989
115,1:y,1:y,,0.921
116,2:n,1:y,+,0.898
117,1:y,1:y,,0.944
118,2:n,2:n,,0.998
119,2:n,2:n,,0.961
120,2:n,2:n,,0.995
121,2:n,2:n,,0.991
122,2:n,2:n,,0.95
123,2:n,2:n,,0.985
124,1:y,1:y,,0.97
125,2:n,2:n,,0.958
126,2:n,1:y,+,0.869
127,2:n,2:n,,0.975
128,2:n,2:n,,0.967
129,2:n,2:n,,0.979
130,2:n,2:n,,0.92
131,1:y,1:y,,0.996
132,1:y,1:y,,0.9
133,1:y,1:y,,0.902
134,1:y,1:y,,0.909
135,2:n,2:n,,0.93
136,1:y,1:y,,0.987
137,2:n,2:n,,0.984
138,2:n,2:n,,0.961
139,1:y,1:y,,0.979
140,1:y,1:y,,0.984
141,2:n,2:n,,0.986
142,1:y,1:y,,0.978
143,2:n,2:n,,0.747
144,1:y,1:y,,0.799
145,1:y,1:y,,0.933
146,2:n,2:n,,0.988
147,1:y,1:y,,0.952
148,1:y,2:n,+,0.527
149,2:n,2:n,,0.962
150,1:y,1:y,,0.841
151,2:n,2:n,,0.993
152,2:n,1:y,+,0.947
153,2:n,2:n,,0.979
154,2:n,2:n,,0.994
155,2:n,2:n,,0.914
156,1:y,1:y,,0.989
157,1:y,2:n,+,0.95
158,1:y,1:y,,0.987
159,1:y,1:y,,0.953
160,1:y,1:y,,0.932
161,2:n,2:n,,0.994
