
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.947
2,1:y,1:y,,0.907
3,1:y,1:y,,0.956
4,2:n,1:y,+,0.827
5,2:n,2:n,,0.987
6,2:n,1:y,+,0.817
7,2:n,2:n,,0.993
8,2:n,1:y,+,0.684
9,2:n,2:n,,0.693
10,1:y,1:y,,0.797
11,2:n,2:n,,0.873
12,1:y,1:y,,0.68
13,1:y,1:y,,0.873
14,2:n,1:y,+,0.907
15,1:y,2:n,+,0.953
16,2:n,2:n,,0.736
17,1:y,1:y,,0.729
18,1:y,1:y,,0.723
19,2:n,2:n,,0.947
20,1:y,1:y,,0.743
21,2:n,2:n,,0.99
22,1:y,1:y,,0.777
23,1:y,1:y,,0.977
24,2:n,2:n,,0.695
25,2:n,1:y,+,0.705
26,2:n,2:n,,0.92
27,1:y,1:y,,0.943
28,2:n,2:n,,0.91
29,1:y,1:y,,0.919
30,2:n,2:n,,0.96
31,1:y,1:y,,0.967
32,1:y,1:y,,0.931
33,1:y,1:y,,0.933
34,2:n,2:n,,0.903
35,1:y,1:y,,0.826
36,2:n,2:n,,0.937
37,1:y,1:y,,0.681
38,1:y,1:y,,0.727
39,1:y,1:y,,0.923
40,1:y,1:y,,0.583
41,2:n,2:n,,0.997
42,1:y,1:y,,0.92
43,2:n,2:n,,0.993
44,2:n,2:n,,0.773
45,1:y,1:y,,0.897
46,1:y,1:y,,0.99
47,2:n,1:y,+,0.903
48,2:n,2:n,,0.963
49,1:y,1:y,,0.947
50,2:n,2:n,,0.919
51,1:y,1:y,,0.943
52,1:y,1:y,,0.651
53,2:n,1:y,+,0.983
54,1:y,1:y,,0.808
55,2:n,2:n,,0.993
56,1:y,1:y,,0.807
57,2:n,2:n,,0.996
58,2:n,2:n,,0.88
59,1:y,2:n,+,0.888
60,1:y,1:y,,0.95
61,2:n,1:y,+,0.706
62,2:n,2:n,,0.994
63,1:y,1:y,,0.937
64,2:n,2:n,,0.514
65,1:y,1:y,,0.859
66,1:y,1:y,,0.77
67,1:y,1:y,,0.867
68,2:n,2:n,,0.695
69,1:y,1:y,,0.777
70,2:n,2:n,,0.924
71,1:y,1:y,,0.697
72,2:n,2:n,,0.983
73,1:y,1:y,,0.9
74,2:n,2:n,,0.924
75,2:n,2:n,,0.947
76,2:n,2:n,,0.717
77,2:n,2:n,,1
78,1:y,1:y,,0.923
79,1:y,1:y,,0.57
80,2:n,2:n,,0.993
81,1:y,1:y,,0.881
82,1:y,2:n,+,0.544
83,1:y,1:y,,0.823
84,1:y,1:y,,0.75
85,1:y,1:y,,0.963
86,1:y,1:y,,0.633
87,1:y,1:y,,0.783
88,2:n,2:n,,0.99
89,1:y,1:y,,0.757
90,2:n,2:n,,0.879
91,2:n,1:y,+,0.667
92,1:y,1:y,,0.96
93,1:y,1:y,,0.92
94,2:n,2:n,,0.987
95,2:n,1:y,+,0.609
96,1:y,1:y,,0.893
97,2:n,2:n,,0.993
98,2:n,1:y,+,0.55
99,1:y,1:y,,0.74
100,1:y,1:y,,0.869
101,2:n,2:n,,0.973
102,2:n,2:n,,0.993
103,1:y,1:y,,0.817
104,2:n,2:n,,0.916
105,1:y,1:y,,0.993
106,2:n,2:n,,1
107,1:y,1:y,,0.664
108,2:n,2:n,,0.98
109,1:y,1:y,,0.86
110,2:n,2:n,,0.893
111,1:y,1:y,,0.963
112,2:n,2:n,,0.97
113,2:n,2:n,,0.993
114,2:n,2:n,,0.957
115,1:y,1:y,,0.947
116,2:n,2:n,,0.58
117,1:y,1:y,,0.773
118,2:n,2:n,,0.943
119,2:n,2:n,,0.98
120,2:n,1:y,+,0.591
121,2:n,1:y,+,0.866
122,2:n,1:y,+,0.99
123,2:n,2:n,,0.993
124,1:y,1:y,,0.793
125,2:n,2:n,,0.922
126,2:n,1:y,+,0.642
127,2:n,2:n,,0.982
128,2:n,2:n,,0.997
129,2:n,2:n,,0.997
130,2:n,2:n,,0.953
131,1:y,1:y,,0.987
132,1:y,1:y,,0.653
133,1:y,1:y,,0.8
134,1:y,1:y,,0.621
135,2:n,2:n,,0.947
136,1:y,1:y,,0.886
137,2:n,2:n,,0.987
138,2:n,2:n,,0.97
139,1:y,1:y,,0.983
140,1:y,1:y,,0.936
141,2:n,2:n,,0.983
142,1:y,1:y,,0.923
143,2:n,2:n,,0.957
144,1:y,1:y,,0.943
145,1:y,1:y,,0.79
