sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerNo,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,rCount,bMinPriceVariance,bMaxPriceVariance,bMeanVariance,cMeanVariance,order
1,18,7,624.606,11,16.99,39.99,207.91,5,16.99,39.99,112.95,?,y,completely orderable,25039,1300,489,188,5,49,1,65,1,91.4320987654,91.4320987654,91.4320987654,91.4320987654,1
2,18,7,2804.705,16,34.99,34.99,174.95,2,34.99,34.99,69.98,?,y,completely orderable,25040,1200,543,43,5,29,2,184,1,0,0,0,0,1
3,18,7,7401.384,119,7.99,59.95,3263.57,12,12.49,39.95,346.56,?,y,completely orderable,25041,600,552,17,4,37,2,107,1,5.8459357278,5.8459357278,5.8459357278,5.8459357278,1
4,18,7,2853.55,152,3.99,239.99,5642.5,4,9.99,14.99,44.96,?,?,?,25042,8500,535,226,19,49,2,17,1,0,0,0,0,0
5,18,7,48.145,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2,y,completely orderable,25043,600,543,39,2,53,2,234,0,0,0,0,0,0
6,18,7,3464.238,51,7.99,39.99,449.34,3,7.99,10.99,28.97,?,?,?,25044,4000,513,352,9,82,1,28,1,1.5555555556,1.5555555556,1.5555555556,1.5555555556,0
7,18,7,482.112,8,14.99,19.99,129.92,2,14.99,14.99,29.98,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
8,18,7,1844.763,40,8.99,99.99,648.74,2,12.99,14.99,27.98,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,0
9,18,7,68.599,4,59.99,79.99,299.96,1,79.99,79.99,79.99,?,?,?,25045,1500,433,73,14,65,2,4,0,0,0,0,0,0
10,18,7,5852.879,149,5,39.99,891.32,5,7.99,19.99,60.95,?,y,completely orderable,?,?,?,?,?,?,?,?,1,7.5555555556,7.5555555556,7.5555555556,7.5555555556,1
11,18,7,4399.213,50,5,39.9,864.27,9,12.99,19.99,129.91,1,y,mainly orderable,25046,4000,547,217,3,48,2,146,1,0.9795918367,0.9795918367,0.9795918367,0.9795918367,0
12,18,7,1150.028,46,7,29.99,854.55,2,9.99,19.99,29.98,5,y,completely orderable,25047,2400,532,219,26,46,2,24,1,13.8888888889,13.8888888889,13.8888888889,13.8888888889,1
13,18,7,1033.142,11,14.99,49.99,354.89,2,29.99,49.99,79.98,5,y,completely orderable,25048,3000,516,243,10,62,1,64,1,43.75,43.75,43.75,43.75,1
14,18,7,4183.782,114,9.99,129.99,4096.43,7,9.99,59.99,200.9,?,?,?,25049,300,80,24,1,50,2,43,1,19.8808408163,19.8808408163,19.8808408163,19.8808408163,0
15,18,7,8433.742,100,4.99,199.99,9460.51,4,4.99,149.99,214.88,1,y,completely orderable,25050,600,558,106,4,47,2,131,1,752.9394949722,752.9394949722,752.9394949722,752.9394949722,1
16,18,7,154.899,8,29.99,49.99,299.92,1,29.99,29.99,29.99,?,?,?,25051,200,557,223,10,51,2,31,0,0,0,0,0,0
17,18,7,3903.416,30,3,699.99,3241.86,2,79.99,399.99,479.98,5,y,completely orderable,25052,4000,493,341,19,73,2,32,1,0,0,0,0,1
18,18,7,71.873,3,19.99,59.95,139.89,3,19.99,59.95,139.89,?,y,completely orderable,25053,8500,562,223,33,50,1,5,1,325.877877551,325.877877551,325.877877551,325.877877551,1
19,18,7,192.97,10,14,19.99,175.94,2,19.99,19.99,39.98,4,y,completely orderable,25054,0,384,178,9,35,2,7,1,0,0,0,0,0
20,18,7,1100.188,27,17.99,139.99,1943.75,10,17.99,139.99,563.92,?,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
21,18,7,209.777,9,99,199,696,1,199,199,199,1,y,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
22,18,7,1395.358,16,9.99,19.99,224.86,2,9.99,17.99,27.98,?,y,completely orderable,?,?,?,?,?,?,?,?,1,10.24,10.24,10.24,10.24,1
23,18,7,2798.544,40,4.99,24.99,567.69,6,4.99,24.99,102.94,5,y,completely orderable,5985,3600,588,357,10,61,1,24,1,45.0519031142,45.0519031142,45.0519031142,45.0519031142,1
24,18,7,1291.75,47,3,44.99,630.74,1,9.99,9.99,9.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
25,18,7,1177.269,19,9.99,329.99,1509.85,3,14.99,29.99,64.97,?,?,?,?,?,?,?,?,?,?,?,1,50,50,50,50,0
26,18,7,33.44,5,49.99,49.99,249.95,1,49.99,49.99,49.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
27,18,7,4557.034,61,1,69.99,776.84,8,9.99,29.99,132.97,?,y,completely orderable,25055,300,520,14,0,41,2,63,1,2.14843749999991E-05,2.14843749999991E-05,2.14843749999991E-05,2.14843749999991E-05,1
28,18,7,62.605,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
29,18,7,874.942,15,19.99,20,279.87,4,19.99,19.99,79.96,?,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
