@relation database_class_mean_unknown

@attribute startHour numeric
@attribute startWeekday numeric
@attribute duration numeric
@attribute cCount numeric
@attribute cMinPrice numeric
@attribute cMaxPrice numeric
@attribute cSumPrice numeric
@attribute bCount numeric
@attribute bMinPrice numeric
@attribute bMaxPrice numeric
@attribute bSumPrice numeric
@attribute bStep numeric
@attribute onlineStatus {y,desconhecido,n}
@attribute availability {'completely orderable','completely not orderable',desconhecido,'mainly orderable',mixed,'completely not determinable','mainly not orderable','mainly not determinable'}
@attribute maxVal numeric
@attribute customerScore numeric
@attribute accountLifetime numeric
@attribute payments numeric
@attribute age numeric
@attribute lastOrder numeric
@attribute rCount numeric
@attribute bMinPriceVariance numeric
@attribute bMaxPriceVariance numeric
@attribute bMeanVariance numeric
@attribute cMeanVariance numeric
@attribute order {y,n}

@data
18,7,624.606,11,16.99,39.99,207.91,5,16.99,39.99,112.95,3.118534,y,'completely orderable',1300,489,188,5,49,65,1,91.432099,91.432099,91.432099,91.432099,y
18,7,2804.705,16,34.99,34.99,174.95,2,34.99,34.99,69.98,3.118534,y,'completely orderable',1200,543,43,5,29,184,1,0,0,0,0,y
18,7,7401.384,119,7.99,59.95,3263.57,12,12.49,39.95,346.56,3.118534,y,'completely orderable',600,552,17,4,37,107,1,5.845936,5.845936,5.845936,5.845936,y
18,7,2853.55,152,3.99,239.99,5642.5,4,9.99,14.99,44.96,3.118534,desconhecido,desconhecido,8500,535,226,19,49,17,1,0,0,0,0,n
18,7,48.145,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2,y,'completely orderable',600,543,39,2,53,234,0,0,0,0,0,n
18,7,3464.238,51,7.99,39.99,449.34,3,7.99,10.99,28.97,3.118534,desconhecido,desconhecido,4000,513,352,9,82,28,1,1.555556,1.555556,1.555556,1.555556,n
18,7,482.112,8,14.99,19.99,129.92,2,14.99,14.99,29.98,1,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,0,0,0,0,n
18,7,1844.763,40,8.99,99.99,648.74,2,12.99,14.99,27.98,3.118534,desconhecido,desconhecido,1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,1,1,1,1,n
18,7,68.599,4,59.99,79.99,299.96,1,79.99,79.99,79.99,3.118534,desconhecido,desconhecido,1500,433,73,14,65,4,0,0,0,0,0,n
18,7,5852.879,149,5,39.99,891.32,5,7.99,19.99,60.95,3.118534,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,7.555556,7.555556,7.555556,7.555556,y
18,7,4399.213,50,5,39.9,864.27,9,12.99,19.99,129.91,1,y,'mainly orderable',4000,547,217,3,48,146,1,0.979592,0.979592,0.979592,0.979592,n
18,7,1150.028,46,7,29.99,854.55,2,9.99,19.99,29.98,5,y,'completely orderable',2400,532,219,26,46,24,1,13.888889,13.888889,13.888889,13.888889,y
18,7,1033.142,11,14.99,49.99,354.89,2,29.99,49.99,79.98,5,y,'completely orderable',3000,516,243,10,62,64,1,43.75,43.75,43.75,43.75,y
18,7,4183.782,114,9.99,129.99,4096.43,7,9.99,59.99,200.9,3.118534,desconhecido,desconhecido,300,80,24,1,50,43,1,19.880841,19.880841,19.880841,19.880841,n
18,7,8433.742,100,4.99,199.99,9460.51,4,4.99,149.99,214.88,1,y,'completely orderable',600,558,106,4,47,131,1,752.939495,752.939495,752.939495,752.939495,y
18,7,154.899,8,29.99,49.99,299.92,1,29.99,29.99,29.99,3.118534,desconhecido,desconhecido,200,557,223,10,51,31,0,0,0,0,0,n
18,7,3903.416,30,3,699.99,3241.86,2,79.99,399.99,479.98,5,y,'completely orderable',4000,493,341,19,73,32,1,0,0,0,0,y
18,7,71.873,3,19.99,59.95,139.89,3,19.99,59.95,139.89,3.118534,y,'completely orderable',8500,562,223,33,50,5,1,325.877878,325.877878,325.877878,325.877878,y
18,7,192.97,10,14,19.99,175.94,2,19.99,19.99,39.98,4,y,'completely orderable',0,384,178,9,35,7,1,0,0,0,0,n
18,7,1100.188,27,17.99,139.99,1943.75,10,17.99,139.99,563.92,3.118534,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,0,0,0,0,y
18,7,209.777,9,99,199,696,1,199,199,199,1,y,desconhecido,1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,0,0,0,0,0,n
18,7,1395.358,16,9.99,19.99,224.86,2,9.99,17.99,27.98,3.118534,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,10.24,10.24,10.24,10.24,y
18,7,2798.544,40,4.99,24.99,567.69,6,4.99,24.99,102.94,5,y,'completely orderable',3600,588,357,10,61,24,1,45.051903,45.051903,45.051903,45.051903,y
18,7,1291.75,47,3,44.99,630.74,1,9.99,9.99,9.99,3.118534,desconhecido,desconhecido,1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,0,0,0,0,0,n
18,7,1177.269,19,9.99,329.99,1509.85,3,14.99,29.99,64.97,3.118534,desconhecido,desconhecido,1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,50,50,50,50,n
18,7,33.44,5,49.99,49.99,249.95,1,49.99,49.99,49.99,3.118534,desconhecido,desconhecido,1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,0,0,0,0,0,n
18,7,4557.034,61,1,69.99,776.84,8,9.99,29.99,132.97,3.118534,y,'completely orderable',300,520,14,0,41,63,1,0.000021,0.000021,0.000021,0.000021,y
18,7,62.605,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,0,0,0,0,0,n
18,7,874.942,15,19.99,20,279.87,4,19.99,19.99,79.96,3.118534,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,0,0,0,0,y
18,7,2117.586,20,9.99,9.99,189.81,3,9.99,9.99,29.97,1,y,'completely orderable',1929.004329,476.621409,120.714286,9.496308,43.525107,89.313253,1,0,0,0,0,n
18,7,2874.579,31,17.99,59.95,1177.37,7,17.99,59.95,255.89,5,y,'completely orderable',2700,603,231,5,48,129,1,23.75,23.75,23.75,23.75,y
18,7,1087.098,20,0,19.99,73.96,5,0,19.99,36.98,3.118534,y,'completely orderable',1000,552,45,43,33,7,1,45.869412,45.869412,45.869412,45.869412,y
18,7,7945.024,131,7,169.95,2911.96,13,7,39.99,255.88,3.118534,y,'completely orderable',1700,70,165,2,51,362,1,3.229209,3.229209,3.229209,3.229209,y
