@relation database_class_mode_unknown

@attribute startHour numeric
@attribute startWeekday numeric
@attribute duration numeric
@attribute cCount numeric
@attribute cMinPrice numeric
@attribute cMaxPrice numeric
@attribute cSumPrice numeric
@attribute bCount numeric
@attribute bMinPrice numeric
@attribute bMaxPrice numeric
@attribute bSumPrice numeric
@attribute bStep numeric
@attribute onlineStatus {y,desconhecido,n}
@attribute availability {'completely orderable',desconhecido,'mainly orderable','completely not orderable',mixed,'completely not determinable','mainly not orderable'}
@attribute customerNo string
@attribute maxVal numeric
@attribute accountLifetime numeric
@attribute payments numeric
@attribute age numeric
@attribute lastOrder numeric
@attribute rCount numeric
@attribute bMinPriceVariance numeric
@attribute bMaxPriceVariance numeric
@attribute bMeanVariance numeric
@attribute cMeanVariance numeric
@attribute order {y,n}

@data
18,7,624.606,11,16.99,39.99,207.91,5,16.99,39.99,112.95,5,y,'completely orderable',25039,1300,188,5,49,65,1,91.432099,91.432099,91.432099,91.432099,y
18,7,2804.705,16,34.99,34.99,174.95,2,34.99,34.99,69.98,5,y,'completely orderable',25040,1200,43,5,29,184,1,0,0,0,0,y
18,7,7401.384,119,7.99,59.95,3263.57,12,12.49,39.95,346.56,5,y,'completely orderable',25041,600,17,4,37,107,1,5.845936,5.845936,5.845936,5.845936,y
18,7,2853.55,152,3.99,239.99,5642.5,4,9.99,14.99,44.96,5,desconhecido,desconhecido,25042,8500,226,19,49,17,1,0,0,0,0,n
18,7,48.145,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2,y,'completely orderable',25043,600,39,2,53,234,0,0,0,0,0,n
18,7,3464.238,51,7.99,39.99,449.34,3,7.99,10.99,28.97,5,desconhecido,desconhecido,25044,4000,352,9,82,28,1,1.555556,1.555556,1.555556,1.555556,n
18,7,482.112,8,14.99,19.99,129.92,2,14.99,14.99,29.98,1,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,1844.763,40,8.99,99.99,648.74,2,12.99,14.99,27.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,1,1,1,1,n
18,7,68.599,4,59.99,79.99,299.96,1,79.99,79.99,79.99,5,desconhecido,desconhecido,25045,1500,73,14,65,4,0,0,0,0,0,n
18,7,5852.879,149,5,39.99,891.32,5,7.99,19.99,60.95,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,7.555556,7.555556,7.555556,7.555556,y
